timestamp,activity,system,description,user_id,ip_address,is_anomaly,severity,hour_of_day,description_length,day_of_week,is_weekend,if_anomaly,if_anomaly_score,svm_anomaly,svm_anomaly_score,lstm_anomaly,lstm_anomaly_score,autoencoder_anomaly,autoencoder_anomaly_score,combined_anomaly,combined_anomaly_score,rf_severity,gb_severity,predicted_severity
2025-04-05 09:39:46.907515,Data Backup,Web Server,Logs rotated,user_55,192.168.1.68,False,,9,0.12,5,1,0,0.00782714504691917,0,5.043517881178303,0.0,0.0,0,0.015883235090928722,0,0.31965081056709527,None,None,None
2025-04-05 09:43:46.907515,Message Queue Processing,Logging System,Container deployed,user_82,192.168.1.49,False,,9,0.18,5,1,0,0.01270184994936463,0,11.075591455682243,0.0,0.0,0,0.016174211798428626,0,0.37413509076790835,None,None,None
2025-04-05 09:48:46.907515,Batch Job Execution,Web Server,Configuration saved,user_22,192.168.1.68,False,,9,0.19,5,1,1,-0.0021045089444548526,0,11.712227913873306,0.0,0.0,0,0.01660004163974032,0,0.308217309983979,None,None,None
2025-04-05 09:56:46.907515,File Access,API Gateway,Routine system check,user_57,192.168.1.73,False,,9,0.2,5,1,0,0.013981403184309626,0,18.605384363973037,0.0,0.0,0,0.012907909533096189,0,0.3855463402559741,None,None,None
2025-04-05 09:58:46.907515,Log Rotation,Container Orchestrator,Batch job completed,user_69,192.168.1.90,False,,9,0.19,5,1,0,0.011730415836043062,0,11.45824104030352,0.0,1.8860162526834756e-05,0,0.016528064868058547,0,0.3743540839286046,None,None,None
2025-04-05 10:06:46.907515,Container Deployment,CI/CD Pipeline,SELECT query,user_88,192.168.1.33,False,,10,0.12,5,1,0,0.00781586946003715,0,5.1689116218132725,0.0,4.134255050303182e-06,0,0.015919411913113524,0,0.3205051699014699,None,None,None
2025-04-05 10:10:46.907515,Session Timeout,Cache Server,Cache updated,user_74,192.168.1.48,False,,10,0.13,5,1,1,-0.0026053544735155643,0,6.952342376090336,0.0,7.6439637268777e-06,0,0.016499960912110728,0,0.2828386896878077,None,None,None
2025-04-05 10:16:46.907515,Log Rotation,Firewall,Certificate renewed,user_5,192.168.1.84,False,,10,0.19,5,1,0,0.010465502844159869,0,11.933770857631721,0.0,1.5949497537803836e-05,0,0.016439266704130956,0,0.3695314443056352,None,None,None
2025-04-05 10:18:46.907515,Batch Job Execution,Logging System,Logs rotated,user_44,192.168.1.75,False,,10,0.12,5,1,0,0.004064933207086785,0,4.7885380199964445,0.0,4.509079644776648e-06,0,0.015615817104778771,0,0.29756084755396695,None,None,None
2025-04-05 10:24:46.907515,Data Backup,Container Orchestrator,Email delivery,user_71,172.16.0.1,False,,10,0.14,5,1,0,0.015076390594268185,0,8.272294960011656,0.0,4.1576386138331145e-06,0,0.016619264549188394,0,0.376883507944898,None,None,None
2025-04-05 10:28:46.907515,Session Timeout,Web Server,Batch job completed,user_100,192.168.1.74,False,,10,0.19,5,1,0,0.009558185536520436,0,12.282954860317467,0.0,1.805726242309902e-05,0,0.01577818935692484,0,0.3606799708927209,None,None,None
2025-04-05 10:37:46.907515,Virtual Machine Spin-up,Backup Server,Batch job completed,user_78,192.168.1.12,False,,10,0.19,5,1,0,0.010638693033529323,0,12.328968172081964,0.0,1.2144899301347323e-05,0,0.016236810463674544,0,0.37036822138375936,None,None,None
2025-04-05 10:40:46.907515,Cache Refresh,CI/CD Pipeline,Certificate renewal delayed,user_96,192.168.1.67,True,Low,10,0.27,5,1,0,0.0117223319131039,0,2.2065596208619027,1.0,0.9985303282737732,1,0.018590770739387155,1,0.5999126207986021,Low,Low,Low
2025-04-05 10:43:46.907515,User Registration,Firewall,Configuration saved,user_54,192.168.1.91,False,,10,0.19,5,1,0,0.005184765953173798,0,12.061829642118987,0.0,0.00048346916446462274,0,0.016366285516123905,0,0.3436366390612837,None,None,None
2025-04-05 10:50:46.907515,Network Ping,VPN Server,User account created,user_91,192.168.1.44,False,,10,0.2,5,1,0,0.004485091159304289,0,11.717399130757585,0.0,2.4850149202393368e-05,0,0.01668152841650775,0,0.3413580923981839,None,None,None
2025-04-05 10:55:46.907515,File Upload,Time Synchronization Server,Batch job completed,user_78,10.0.0.1,False,,10,0.19,5,1,0,0.01732543893547045,0,19.918158091192346,0.0,1.580149182700552e-05,0,0.012760393743558291,0,0.40670652475043045,None,None,None
2025-04-05 11:00:46.907515,Network Ping,Message Broker,Cache updated,user_71,192.168.1.84,False,,11,0.13,5,1,0,0.01614711901228638,0,7.111120838728091,0.0,6.658377060375642e-06,0,0.016481435797869873,0,0.37552142438862357,None,None,None
2025-04-05 11:03:46.907515,File Upload,Cache Server,Failed API authentication,user_91,192.168.1.70,True,Low,11,0.25,5,1,0,0.015499265781687921,0,6.441602158922741,1.0,0.9985470771789551,0,0.018327932167045202,1,0.6356641971886138,Low,Low,Low
